"Beer Style",Taste Review
"Belgian Strong Dark Ale",4.0
"Belgian Strong Dark Ale",3.0
"Belgian Strong Dark Ale",4.0
"Belgian Strong Dark Ale",3.5
"Russian Imperial Stout",4.0
"Russian Imperial Stout",4.0
"Russian Imperial Stout",4.5
"Russian Imperial Stout",4.0
"Russian Imperial Stout",4.0
"Russian Imperial Stout",4.0
"Russian Imperial Stout",4.5
"Russian Imperial Stout",4.5
"Russian Imperial Stout",4.0
"Russian Imperial Stout",4.5
"Russian Imperial Stout",4.5
"Russian Imperial Stout",4.5
"Russian Imperial Stout",5.0
"Russian Imperial Stout",4.5
"Russian Imperial Stout",4.5
"Russian Imperial Stout",4.5
"Russian Imperial Stout",4.0
"Russian Imperial Stout",4.0
"Russian Imperial Stout",5.0
"Russian Imperial Stout",4.5
"Russian Imperial Stout",4.0
"Russian Imperial Stout",3.5
"Russian Imperial Stout",4.0
"Russian Imperial Stout",3.5
"Russian Imperial Stout",4.5
"Russian Imperial Stout",4.5
"Russian Imperial Stout",4.5
"Russian Imperial Stout",5.0
"Russian Imperial Stout",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.5
"American Amber / Red Ale",4.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Strong Ale",4.0
"Märzen / Oktoberfest",4.0
"American Adjunct Lager",3.0
"American Adjunct Lager",4.0
"American Adjunct Lager",3.5
"American Adjunct Lager",3.5
"American Adjunct Lager",3.0
"American Adjunct Lager",3.0
"American Adjunct Lager",3.0
"American Adjunct Lager",3.5
"American Adjunct Lager",3.0
"American Adjunct Lager",4.5
"American Adjunct Lager",2.5
"American Adjunct Lager",3.0
"American Adjunct Lager",4.0
"American Adjunct Lager",1.0
"American Blonde Ale",3.0
"American Blonde Ale",4.5
"American Blonde Ale",1.5
"American Blonde Ale",3.5
"American Blonde Ale",1.5
"American Blonde Ale",3.5
"American Blonde Ale",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",4.5
"American IPA",4.5
"American IPA",4.5
"American IPA",4.0
"American IPA",3.5
"American IPA",4.0
"American IPA",5.0
"American IPA",4.0
"American IPA",3.0
"American IPA",3.5
"American IPA",4.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.5
"American IPA",3.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",3.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",3.5
"American IPA",4.5
"American IPA",4.5
"American IPA",4.5
"American IPA",3.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",5.0
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",5.0
"American IPA",2.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.5
"American IPA",4.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",3.0
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",4.5
"American IPA",4.5
"American IPA",4.5
"American IPA",3.5
"American IPA",4.5
"American IPA",3.5
"American IPA",4.0
"American IPA",5.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.5
"American IPA",5.0
"American IPA",4.5
"American IPA",4.5
"American IPA",3.5
"American IPA",5.0
"American IPA",4.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.5
"American IPA",2.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",3.0
"American IPA",4.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.5
"American IPA",3.5
"American IPA",3.5
"American IPA",3.0
"American IPA",5.0
"American IPA",4.0
"American IPA",3.5
"American IPA",3.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",5.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",3.5
"American IPA",3.5
"American IPA",4.5
"American IPA",3.5
"American IPA",4.0
"American IPA",3.0
"American IPA",4.0
"American IPA",4.5
"American IPA",3.0
"American IPA",4.0
"American IPA",5.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",3.0
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",3.5
"American IPA",4.5
"American IPA",3.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",3.5
"American IPA",5.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",3.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.5
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.5
"American IPA",3.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",5.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",5.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.5
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",3.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",3.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",4.0
"American IPA",3.0
"American IPA",2.0
"American IPA",4.5
"American IPA",4.5
"American IPA",5.0
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",5.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.5
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",3.0
"American IPA",4.0
"American IPA",3.0
"American IPA",3.5
"American IPA",3.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",3.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",3.0
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",5.0
"American IPA",4.0
"American IPA",3.5
"American IPA",4.5
"American IPA",3.5
"American IPA",3.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",5.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.5
"American IPA",4.0
"American IPA",2.5
"American IPA",3.5
"American IPA",4.5
"American IPA",3.5
"American IPA",4.0
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",2.5
"American IPA",4.0
"American Porter",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"German Pilsener",3.0
"German Pilsener",4.5
"Fruit / Vegetable Beer",3.0
"Fruit / Vegetable Beer",3.5
"American IPA",4.0
"American IPA",4.5
"American IPA",4.0
"American IPA",1.5
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",3.5
"American IPA",3.0
"American IPA",3.0
"American IPA",3.5
"American IPA",3.5
"American IPA",3.0
"American IPA",4.0
"American IPA",2.0
"American IPA",3.0
"American IPA",3.0
"American IPA",3.0
"American IPA",2.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",2.5
"American IPA",4.5
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",3.0
"American IPA",3.5
"American IPA",4.0
"American IPA",3.5
"American IPA",3.0
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",2.5
"American IPA",4.5
"American IPA",3.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",4.0
"American IPA",3.5
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",3.5
"American IPA",3.5
"American IPA",3.5
"American IPA",4.0
"American IPA",4.0
"American IPA",5.0
"American Strong Ale",5.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",2.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.0
"American Amber / Red Ale",4.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",5.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",2.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",2.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",2.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",2.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",3.5
"American Amber / Red Ale",4.0
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",4.0
"American Porter",4.5
"American Porter",4.5
"American Porter",5.0
"American Porter",4.5
"American Porter",4.0
"American Porter",4.0
"American Porter",4.5
"American Porter",4.5
"American Porter",5.0
"American Porter",4.5
"English Bitter",3.5
"English Bitter",3.5
"English Porter",4.0
"English Bitter",3.0
"English Bitter",3.5
"English Bitter",4.0
"English Bitter",3.0
"English Bitter",3.5
"English Bitter",3.5
"American Double / Imperial IPA",3.5
"American Double / Imperial IPA",3.0
"American IPA",3.0
"American IPA",3.5
"American Strong Ale",3.0
"Irish Dry Stout",3.5
"English Strong Ale",4.0
"American Blonde Ale",3.0
"American Barleywine",4.0
"American Barleywine",1.5
"American Barleywine",4.5
"American Barleywine",3.5
"American Barleywine",4.0
"American Barleywine",4.0
"American Porter",3.5
"American Double / Imperial Stout",3.0
"American Double / Imperial Stout",3.5
"American Double / Imperial Stout",2.5
"American Double / Imperial Stout",4.0
"American Double / Imperial Stout",4.0
"American Double / Imperial Stout",4.0
"American Double / Imperial Stout",4.0
"American Double / Imperial Stout",4.0
"Doppelbock",3.0
"American Amber / Red Ale",2.0
"American Amber / Red Ale",4.0
"American Amber / Red Ale",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",2.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Stout",3.5
"American Stout",2.5
"American Stout",4.0
"American Stout",4.0
"American Stout",5.0
"American Stout",4.0
"Maibock / Helles Bock",4.0
"German Pilsener",3.5
"German Pilsener",4.0
"German Pilsener",3.5
"German Pilsener",4.0
"Dortmunder / Export Lager",3.0
"Dortmunder / Export Lager",3.5
"Dortmunder / Export Lager",2.5
"Euro Strong Lager",3.0
"Low Alcohol Beer",3.5
"Low Alcohol Beer",2.5
"Light Lager",3.5
"Light Lager",1.5
"Light Lager",3.5
"Light Lager",1.5
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",2.5
"Light Lager",2.5
"Light Lager",3.0
"Light Lager",2.0
"Light Lager",1.5
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",3.0
"Light Lager",2.5
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",3.5
"Light Lager",2.5
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",2.5
"Light Lager",1.0
"Light Lager",2.5
"Light Lager",4.0
"Light Lager",1.0
"Light Lager",1.0
"Light Lager",2.0
"Light Lager",2.5
"Light Lager",2.5
"Light Lager",3.0
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",2.5
"Light Lager",3.0
"Light Lager",3.5
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",1.5
"Light Lager",3.5
"Light Lager",3.0
"Light Lager",2.0
"Light Lager",3.0
"Light Lager",3.0
"Light Lager",3.0
"Light Lager",2.0
"Light Lager",3.5
"Light Lager",1.5
"Light Lager",2.0
"Light Lager",2.5
"Light Lager",3.0
"Light Lager",1.5
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",1.5
"Light Lager",3.0
"Light Lager",3.5
"Light Lager",3.0
"Light Lager",2.5
"Light Lager",1.0
"Light Lager",2.0
"Light Lager",3.0
"Light Lager",3.5
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",2.5
"Light Lager",1.0
"Light Lager",2.0
"Light Lager",3.0
"Light Lager",3.0
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",3.5
"Light Lager",3.0
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",2.5
"Light Lager",2.5
"Light Lager",3.0
"Light Lager",2.0
"Light Lager",1.5
"Light Lager",2.5
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",3.0
"Light Lager",2.0
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",1.5
"Light Lager",2.5
"Light Lager",5.0
"Light Lager",2.5
"Light Lager",3.0
"Light Lager",2.5
"Light Lager",1.0
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",3.0
"Light Lager",2.0
"Light Lager",1.0
"Light Lager",2.5
"Light Lager",3.0
"Light Lager",1.5
"Light Lager",2.0
"Light Lager",1.5
"Light Lager",3.0
"Light Lager",2.5
"Light Lager",3.0
"Light Lager",2.0
"Light Lager",3.0
"Light Lager",2.0
"Light Lager",3.0
"Light Lager",2.5
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",3.0
"Light Lager",1.0
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",3.0
"Light Lager",3.5
"Light Lager",1.0
"Light Lager",3.5
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",2.0
"Light Lager",1.5
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",3.5
"Light Lager",2.0
"Light Lager",3.5
"Light Lager",2.5
"Light Lager",3.0
"Light Lager",3.0
"Light Lager",3.0
"Light Lager",2.5
"Light Lager",2.0
"Light Lager",4.0
"Light Lager",2.0
